ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,9/21/2020,Internet & Direct Marketing Retail,28788
EVRG,Evergy,Utilities,Electric Utilities,6/5/2018,Electric Utilities,12343
EW,Edwards Lifesciences,Health Care,Health Care Equipment,4/1/2011,Health Care Equipment,54320
EXC,Exelon Corp.,Utilities,Multi-Utilities,3/4/1957,Multi-Utilities,40953
EXPD,Expeditors,Industrials,Air Freight & Logistics,10/10/2007,Air Freight & Logistics,15817
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,10/2/2007,Internet & Direct Marketing Retail,21268
EXR,Extra Space Storage,Real Estate,Specialized REITs,1/19/2016,Specialized REITs,15393
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,3/4/1957,Automobile Manufacturers,45914
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,12/3/2018,Oil & Gas Exploration & Production,10897
FAST,Fastenal Co,Industrials,Building Products,9/15/2008,Building Products,26935
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,12/23/2013,Interactive Media & Services,780175
FBHS,Fortune Brands Home & Security,Industrials,Building Products,6/22/2016,Building Products,11947
FCX,Freeport-McMoRan Inc.,Materials,Copper,,Copper,48033
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,12/31/1980,Air Freight & Logistics,69402
FE,FirstEnergy Corp,Utilities,Electric Utilities,,Electric Utilities,17535
FFIV,F5 Networks,Information Technology,Communications Equipment,12/20/2010,Communications Equipment,12844
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,11/10/2006,Data Processing & Outsourced Services,82595
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,4/2/2001,Data Processing & Outsourced Services,73681
FITB,Fifth Third Bancorp,Financials,Regional Banks,,Regional Banks,23855
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,1/2/2009,Electronic Equipment & Instruments,7192
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,6/20/2018,Data Processing & Outsourced Services,22584
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,8/19/2009,Fertilizers & Agricultural Chemicals,14106
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,9/18/2015,Movies & Entertainment,18755
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,7/1/2013,Movies & Entertainment,18737
FRC,First Republic Bank,Financials,Regional Banks,1/2/2019,Regional Banks,28086
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2/1/2016,Retail REITs,7789
FTNT,Fortinet,Information Technology,Systems Software,10/11/2018,Systems Software,26766
